2519
(128560439, 'ADA3', '603', 'C1', 'PORTO', 'PARANHOS', 'RUA VALE FORMOSO', 'PARAGEM SEM ABRIGO')
(128560437, 'ADA4', '616', 'C1', 'PORTO', 'PARANHOS', 'RUA VALE FORMOSO', 'PARAGEM SEM ABRIGO')
(447872458, 'ADNV1', '0', 'N16', 'VALONGO', 'ALFENA', 'RUA SAO VICENTE', 'PARAGEM SEM ABRIGO')
(447872458, 'ADNV2', '0', 'N16', 'VALONGO', 'ALFENA', 'RUA SAO VICENTE', 'PARAGEM COM ABRIGO J')
(100118457, 'AEC1', '0', 'S8', 'VILA NOVA DE GAIA', 'VILA NOVA DE GAIA (SANTA MARINHA)', 'RUA REI RAMIRO', 'postalete')
(100118459, 'AEC2', '0', 'S8', 'VILA NOVA DE GAIA', 'VILA NOVA DE GAIA (SANTA MARINHA)', 'RUA REI RAMIRO', 'postalete')
(663689451, 'AF1', '0', 'C10', 'VALONGO', 'VALONGO', 'RUA FONSECA DIAS', 'postalete')
(663689451, 'AF2', '0', 'C10', 'VALONGO', 'VALONGO', 'RUA FONSECA DIAS', 'postalete')
(112613613, 'MMAI1', '0', 'C9', 'MAIA', 'PEDROUÇOS', 'RUA GONCALO MENDES DA MAIA', 'postalete')
(96496392, 'AFHQ3', '837', 'C3', 'MATOSINHOS', 'MATOSINHOS', 'AVENIDA REPUBLICA', 'postalete')
(96496392, 'AFHQ4', '834', 'C3', 'MATOSINHOS', 'MATOSINHOS', 'AVENIDA REPUBLICA', 'postalete')
(299579766, 'FMAG', '0', 'C6', 'PORTO', 'CAMPANHÃ', 'RUA CONTUMIL', 'com painel abrigo')
(1224758703, 'RMAR1', '0', 'S2', 'VILA NOVA DE GAIA', 'MADALENA', 'RUA MARINHA', 'postalete')
(1224758703, 'RMAR2', '0', 'S2', 'VILA NOVA DE GAIA', 'MADALENA', 'RUA MARINHA', 'abrigo')
(430267067, 'AGR1', '0', 'C9', 'MAIA', 'MILHEIRÓS', 'RUA DA AGRA', 'postalete')
(430267067, 'AGR2', '0', 'C9', 'MAIA', 'MILHEIRÓS', 'RUA DA AGRA', 'com painel abrigo')
(112617128, 'AGAS1', '0', 'C8', 'GONDOMAR', 'FÂNZERES', 'RUA D. JOAO DE CASTRO', 'postalete')
(112617128, 'AGAS2', '0', 'C8', 'GONDOMAR', 'FÂNZERES', 'RUA D. JOAO DE CASTRO', 'postalete')
(1264279425, 'AGM1', '0', 'C1', 'PORTO', 'CEDOFEITA', 'AVENIDA BOAVISTA', 'PARAGEM COM ABRIGO J')
(1264279425, 'AGM2', '0', 'C1', 'PORTO', 'MASSARELOS', 'AVENIDA BOAVISTA', 'PARAGEM COM ABRIGO J')
(314075173, 'ICML1', '0', 'C2', 'PORTO', 'NEVOGILDE', 'RUA MARECHAL SALDANHA', 'PARAGEM COM ABRIGO J')
(314075673, 'ICML2', '0', 'C2', 'PORTO', 'FOZ DO DOURO', 'RUA DR. SOUSA ROSA', 'PARAGEM COM ABRIGO J')
(444011313, 'ISEP3', '0', 'C6', 'PORTO', 'PARANHOS', 'RUA DR.ANTONIO BERNARDINO DE A', 'com painel abrigo')
(444011313, 'ISEP4', '0', 'C6', 'PORTO', 'PARANHOS', 'RUA DR.ANTONIO BERNARDINO DE A', 'com painel abrigo')
(100118450, 'AGRO1', '0', 'S8', 'VILA NOVA DE GAIA', 'VILA NOVA DE GAIA (SANTA MARINHA)', 'RUA REI RAMIRO', 'com painel abrigo')
(100118450, 'AGRO2', '0', 'S8', 'VILA NOVA DE GAIA', 'VILA NOVA DE GAIA (SANTA MARINHA)', 'RUA REI RAMIRO', 'com painel abrigo')
(663689338, 'VINH1', '0', 'C8', 'GONDOMAR', 'GONDOMAR (S. COSME)', 'AVENIDA GENERAL HUMBERTO DELGA', 'PARAGEM COM ABRIGO C')
(663689338, 'VINH2', '0', 'C8', 'GONDOMAR', 'GONDOMAR (S. COSME)', 'AVENIDA GENERAL HUMBERTO DELGA', 'PARAGEM COM ABRIGO C')
(112613531, 'CSSH1', '0', 'C3', 'MATOSINHOS', 'SENHORA DA HORA', 'AVENIDA VASCO DA GAMA', 'com painel abrigo')
(1225943165, 'CSSH2', '0', 'C3', 'MATOSINHOS', 'SENHORA DA HORA', 'RUA LAGOA', 'com painel abrigo')
(100118446, 'AGU1', '0', 'S2', 'VILA NOVA DE GAIA', 'MADALENA', 'RUA ANTONIO F  SOUSA', 'postalete')
(100118446, 'AGU2', '0', 'S2', 'VILA NOVA DE GAIA', 'MADALENA', 'RUA ANTONIO F  SOUSA', 'postalete')
(111467281, 'AH', '61', 'S8', 'VILA NOVA DE GAIA', 'VILA NOVA DE GAIA (SANTA MARINHA)', 'RUA ALEXANDRE HERCULANO', 'postalete')
(444041716, 'AHRQ1', '0', 'N16', 'VALONGO', 'ALFENA', 'RUA 1§ MAIO', 'postalete')
(444041716, 'AHRQ2', '0', 'N16', 'VALONGO', 'ALFENA', 'RUA 1§ MAIO', 'com painel abrigo')
